skin_id,champion_name,skin_name,rarity,price_rp,release_date,champion_id,skin_num,skin_name_norm
1,Aatrox,default,Legacy,880,2023-03-28,Aatrox,0,aatrox
2,Aatrox,Justicar Aatrox,Legacy,975,2021-05-05,Aatrox,1,justicaraatrox
3,Aatrox,Mecha Aatrox,Epic,1350,2022-05-13,Aatrox,2,mechaaatrox
4,Aatrox,Sea Hunter Aatrox,Legacy,750,2026-01-12,Aatrox,3,seahunteraatrox
5,Aatrox,Blood Moon Aatrox,Epic,1350,2020-03-01,Aatrox,7,bloodmoonaatrox
6,Aatrox,Odyssey Aatrox,Epic,1350,2021-08-23,Aatrox,11,odysseyaatrox
7,Aatrox,Lunar Eclipse Aatrox,Epic,1350,2023-03-09,Aatrox,21,lunareclipseaatrox
8,Aatrox,Primordian Aatrox,Legendary,1820,2023-08-04,Aatrox,33,primordianaatrox
9,Ahri,default,Legacy,880,2022-05-08,Ahri,0,ahri
10,Ahri,Dynasty Ahri,Legacy,975,2024-02-04,Ahri,1,dynastyahri
11,Ahri,Foxfire Ahri,Legacy,975,2022-11-27,Ahri,3,foxfireahri
12,Ahri,Popstar Ahri,Legacy,975,2020-11-21,Ahri,4,popstarahri
13,Ahri,Challenger Ahri,Legacy,975,2021-09-23,Ahri,5,challengerahri
14,Ahri,Academy Ahri,Legacy,750,2025-07-14,Ahri,6,academyahri
15,Ahri,Arcade Ahri,Epic,1350,2025-12-25,Ahri,7,arcadeahri
16,Ahri,Star Guardian Ahri,Legendary,1820,2022-05-29,Ahri,14,starguardianahri
17,Ahri,K/DA Ahri,Epic,1350,2025-11-13,Ahri,15,kdaahri
18,Ahri,Elderwood Ahri,Epic,1350,2022-04-10,Ahri,17,elderwoodahri
19,Ahri,Spirit Blossom Ahri,Legendary,1820,2023-11-28,Ahri,27,spiritblossomahri
20,Ahri,K/DA ALL OUT Ahri,Epic,1350,2023-11-09,Ahri,28,kdaalloutahri
21,Ahri,Coven Ahri,Epic,1350,2025-08-16,Ahri,42,covenahri
22,Ahri,Arcana Ahri,Epic,1350,2021-07-12,Ahri,66,arcanaahri
23,Ahri,Snow Moon Ahri,Epic,1350,2021-11-04,Ahri,76,snowmoonahri
24,Akali,default,Legacy,790,2021-03-17,Akali,0,akali
25,Akali,Stinger Akali,Legacy,520,2024-01-04,Akali,1,stingerakali
26,Akali,Infernal Akali,Legacy,520,2020-05-06,Akali,2,infernalakali
27,Akali,All-star Akali,Legacy,975,2023-06-11,Akali,3,allstarakali
28,Akali,Nurse Akali,Legacy,975,2022-01-06,Akali,4,nurseakali
29,Akali,Blood Moon Akali,Legacy,975,2021-06-29,Akali,5,bloodmoonakali
30,Akali,Silverfang Akali,Legacy,975,2024-09-14,Akali,6,silverfangakali
31,Akali,Headhunter Akali,Epic,1350,2021-06-24,Akali,7,headhunterakali
32,Akali,Sashimi Akali,Legacy,750,2022-07-11,Akali,8,sashimiakali
33,Akali,K/DA Akali,Epic,1350,2026-01-19,Akali,9,kdaakali
34,Akali,PROJECT: Akali,Epic,1350,2021-10-23,Akali,14,projectakali
35,Akali,True Damage Akali,Epic,1350,2024-04-12,Akali,15,truedamageakali
36,Akali,K/DA ALL OUT Akali,Epic,1350,2023-12-02,Akali,32,kdaalloutakali
37,Akali,Star Guardian Akali,Legendary,1820,2023-03-11,Akali,61,starguardianakali
38,Akali,Coven Akali,Epic,1350,2024-03-15,Akali,70,covenakali
39,Akali,Empyrean Akali,Epic,1350,2023-01-16,Akali,82,empyreanakali
40,Akshan,default,Legacy,975,2024-06-03,Akshan,0,akshan
41,Akshan,Cyber Pop Akshan,Epic,1350,2022-12-19,Akshan,1,cyberpopakshan
42,Akshan,Crystal Rose Akshan,Epic,1350,2023-06-16,Akshan,10,crystalroseakshan
43,Alistar,default,Epic,585,2022-12-20,Alistar,0,alistar
44,Alistar,Golden Alistar,Legacy,390,2020-02-22,Alistar,2,goldenalistar
45,Alistar,Matador Alistar,Legacy,975,2022-08-04,Alistar,3,matadoralistar
46,Alistar,Longhorn Alistar,Legacy,520,2021-02-07,Alistar,4,longhornalistar
47,Alistar,Infernal Alistar,Legacy,975,2022-11-28,Alistar,6,infernalalistar
48,Alistar,Sweeper Alistar,Legacy,750,2024-01-19,Alistar,7,sweeperalistar
49,Alistar,Marauder Alistar,Legacy,750,2025-05-29,Alistar,8,marauderalistar
50,Alistar,Moo Cow Alistar,Legacy,975,2021-08-31,Alistar,10,moocowalistar
51,Alistar,Conqueror Alistar,Legacy,975,2021-02-04,Alistar,20,conqueroralistar
52,Alistar,Blackfrost Alistar,Epic,1350,2025-04-24,Alistar,22,blackfrostalistar
53,Alistar,Lunar Beast Alistar,Epic,1350,2022-12-17,Alistar,29,lunarbeastalistar
54,Ambessa,default,Default,0,2020-09-18,Ambessa,0,ambessa
55,Amumu,default,Epic,260,2020-09-16,Amumu,0,amumu
56,Amumu,Pharaoh Amumu,Legacy,520,2025-07-09,Amumu,1,pharaohamumu
57,Amumu,Vancouver Amumu,Legacy,520,2023-07-12,Amumu,2,vancouveramumu
58,Amumu,Re-Gifted Amumu,Legacy,520,2020-08-21,Amumu,4,regiftedamumu
59,Amumu,Almost-Prom King Amumu,Legacy,520,2021-02-14,Amumu,5,almostpromkingamumu
60,Amumu,Sad Robot Amumu,Epic,1350,2023-04-23,Amumu,7,sadrobotamumu
61,Amumu,Surprise Party Amumu,Epic,1350,2022-09-03,Amumu,8,surprisepartyamumu
62,Amumu,Infernal Amumu,Epic,1350,2021-01-20,Amumu,17,infernalamumu
63,Amumu,Pumpkin Prince Amumu,Epic,1350,2026-01-12,Amumu,24,pumpkinprinceamumu
64,Amumu,Porcelain Amumu,Epic,1350,2022-02-06,Amumu,34,porcelainamumu
65,Amumu,Heartache Amumu,Epic,1350,2023-10-11,Amumu,44,heartacheamumu
66,Anivia,default,Legacy,790,2025-05-31,Anivia,0,anivia
67,Anivia,Team Spirit Anivia,Legacy,520,2024-07-31,Anivia,1,teamspiritanivia
68,Anivia,Bird of Prey Anivia,Legacy,520,2025-08-27,Anivia,2,birdofpreyanivia
69,Anivia,Noxus Hunter Anivia,Legacy,520,2020-12-01,Anivia,3,noxushunteranivia
70,Anivia,Hextech Anivia,Legacy,750,2024-07-05,Anivia,4,hextechanivia
71,Anivia,Blackfrost Anivia,Legendary,1820,2021-06-27,Anivia,5,blackfrostanivia
72,Anivia,Prehistoric Anivia,Legacy,750,2023-05-20,Anivia,6,prehistoricanivia
73,Anivia,Festival Queen Anivia,Legacy,975,2022-08-28,Anivia,7,festivalqueenanivia
74,Anivia,Papercraft Anivia,Epic,1350,2023-10-28,Anivia,8,papercraftanivia
75,Anivia,Divine Phoenix Anivia,Epic,1350,2023-06-04,Anivia,27,divinephoenixanivia
76,Annie,default,Epic,260,2021-02-08,Annie,0,annie
77,Annie,Red Riding Annie,Legacy,520,2023-12-24,Annie,2,redridingannie
78,Annie,Prom Queen Annie,Legacy,520,2025-05-03,Annie,4,promqueenannie
79,Annie,Frostfire Annie,Legacy,975,2025-02-22,Annie,5,frostfireannie
80,Annie,Reverse Annie,Legacy,975,2020-05-01,Annie,6,reverseannie
81,Annie,FrankenTibbers Annie,Legacy,975,2021-08-27,Annie,7,frankentibbersannie
82,Annie,Panda Annie,Legacy,975,2025-11-05,Annie,8,pandaannie
83,Annie,Sweetheart Annie,Legacy,750,2025-11-21,Annie,9,sweetheartannie
84,Annie,Super Galaxy Annie,Epic,1350,2022-09-29,Annie,11,supergalaxyannie
85,Annie,Cafe Cuties Annie,Epic,1350,2023-02-17,Annie,22,cafecutiesannie
86,Annie,Winterblessed Annie,Epic,1350,2025-01-02,Annie,40,winterblessedannie
87,Annie,Battle Princess Annie,Epic,1350,2025-04-10,Annie,50,battleprincessannie
88,Aphelios,default,Legacy,975,2023-07-07,Aphelios,0,aphelios
89,Aphelios,Spirit Blossom Aphelios,Epic,1350,2022-01-11,Aphelios,20,spiritblossomaphelios
90,Aphelios,HEARTSTEEL Aphelios,Epic,1350,2020-02-16,Aphelios,30,heartsteelaphelios
