transaction_id,player_id,skin_id,purchase_date,price_rp,quantity
1,195,563,2026-01-20,1350,1
2,3301,1436,2025-07-07,1350,1
3,358,364,2025-08-02,975,1
4,3117,1207,2025-08-09,1350,1
5,1097,842,2026-01-19,975,1
6,1509,1311,2025-04-04,1350,1
7,903,783,2025-07-19,585,1
8,3735,1262,2025-04-16,1350,1
9,2162,404,2025-06-08,1350,1
10,1180,1152,2026-01-22,520,1
11,4770,394,2025-03-19,975,1
12,3828,172,2025-12-09,1350,1
13,4325,421,2026-01-10,1350,1
14,4436,528,2025-07-04,750,1
15,3205,438,2025-02-04,520,1
16,1311,650,2025-04-30,1350,1
17,1222,1230,2025-11-25,1350,1
18,1209,201,2025-12-21,1350,1
19,30,1466,2025-10-05,1350,1
20,1232,1291,2025-11-24,1350,1
21,346,342,2025-04-07,975,1
22,3718,478,2025-11-15,1350,1
23,2170,681,2025-05-31,1350,1
24,1315,933,2025-03-20,975,1
25,3988,470,2025-02-04,1350,1
26,2953,352,2025-12-29,750,1
27,392,974,2025-09-14,975,1
28,2982,29,2025-11-05,975,1
29,695,151,2025-10-15,1350,1
30,2206,458,2025-04-17,1350,1
31,2949,1354,2025-12-04,750,1
32,1483,469,2025-11-10,1350,1
33,3529,536,2025-05-31,975,1
34,4813,911,2025-10-04,520,1
35,2926,1455,2025-10-21,520,1
36,1618,973,2025-09-07,975,1
37,651,492,2025-09-03,1350,1
38,2197,1168,2025-12-16,1350,1
39,2385,1199,2026-01-16,750,1
40,3012,380,2025-09-11,1350,1
41,1019,730,2025-05-20,1350,1
42,2477,381,2025-02-22,1350,1
43,3877,231,2025-03-03,1350,1
44,3505,1293,2025-11-27,1350,1
45,3581,725,2025-03-11,975,1
46,2827,1006,2025-04-13,1350,1
47,3711,1283,2025-01-31,1350,1
48,2331,742,2025-05-16,1820,1
49,1299,1348,2025-06-14,1350,1
50,3858,13,2025-11-16,975,1
51,1660,1379,2025-12-24,880,1
52,2113,1116,2025-05-17,880,1
53,1383,547,2025-02-01,975,1
54,4505,718,2026-01-07,975,1
55,4152,1323,2025-11-23,1350,1
56,2626,727,2025-11-23,975,1
57,4245,258,2025-10-18,975,1
58,3079,779,2026-01-18,750,1
59,1668,35,2025-02-25,1350,1
60,3686,469,2025-07-20,1350,1
61,2116,721,2025-08-08,1350,1
62,2583,1283,2025-05-14,1350,1
63,4854,508,2025-04-08,975,1
64,906,788,2025-11-30,975,1
65,3719,336,2025-04-21,1350,1
66,1447,830,2025-10-13,1350,1
67,4312,241,2025-05-28,1350,1
68,1327,119,2025-03-02,1350,1
69,2429,337,2025-05-10,790,1
70,3160,1006,2025-08-12,1350,1
71,1252,1320,2025-04-19,1350,1
72,2319,1461,2025-08-01,975,1
73,1690,839,2025-10-19,975,1
74,4480,569,2025-06-21,1350,1
75,3065,31,2026-01-02,1350,1
76,1154,871,2025-09-09,1350,1
77,4625,1084,2025-12-08,520,1
78,4663,973,2025-10-19,975,1
79,2819,1149,2025-11-20,1350,1
80,3523,640,2025-12-09,975,1
81,3951,872,2025-12-06,790,1
82,2930,275,2025-04-07,520,1
83,4594,135,2025-03-20,520,1
84,2485,1239,2025-02-16,750,1
85,1059,280,2025-02-10,750,1
86,3107,1037,2025-12-11,1350,1
87,1017,39,2025-11-21,1350,1
88,3357,1354,2025-09-08,750,1
89,4561,185,2025-02-03,880,1
90,2600,913,2025-10-28,1350,1
91,3346,1250,2025-07-04,1350,1
92,1136,129,2025-11-16,1350,1
93,1787,173,2025-03-24,1820,1
94,1641,639,2025-06-10,750,1
95,1564,277,2026-01-21,520,1
96,1360,1005,2025-09-02,1820,1
97,1331,479,2025-03-29,880,1
98,1833,967,2025-05-02,1350,1
99,4797,1119,2025-06-05,1820,1
100,3896,90,2025-11-07,1350,1
101,938,111,2025-05-10,1350,1
102,4099,738,2025-08-07,1350,1
103,1025,586,2025-04-23,975,1
104,103,1152,2025-08-07,520,1
105,4791,315,2026-01-24,1350,1
106,2,1210,2025-11-09,975,1
107,1194,618,2025-04-13,975,1
108,496,337,2025-09-08,790,1
109,620,461,2025-06-02,585,1
110,2598,655,2025-05-20,880,1
111,2550,636,2025-11-14,1820,1
112,1608,398,2025-11-12,880,1
113,3419,1070,2025-03-12,1350,1
114,2974,835,2025-03-30,520,1
115,3352,187,2026-01-23,520,1
116,791,654,2025-07-03,1350,1
117,3569,1474,2025-10-24,1350,1
118,4085,273,2025-07-15,1350,1
119,2235,647,2025-05-21,1350,1
120,1496,165,2025-09-23,880,1
121,4516,1141,2025-09-29,1350,1
122,2136,146,2026-01-17,750,1
123,3456,962,2025-07-17,1350,1
124,178,252,2025-05-17,1350,1
125,4275,168,2025-07-28,975,1
126,2181,1391,2025-07-09,975,1
127,1898,1313,2025-03-09,975,1
128,4466,791,2025-08-06,1350,1
129,3724,911,2025-07-05,520,1
130,1139,361,2025-11-28,880,1
131,2857,575,2025-08-15,520,1
132,944,1009,2025-07-23,260,1
133,4171,462,2025-05-27,520,1
134,1735,738,2025-12-13,1350,1
135,2765,1396,2026-01-28,1350,1
136,2640,683,2025-03-09,1350,1
137,3599,336,2025-12-19,1350,1
138,2611,1037,2026-01-23,1350,1
139,3501,829,2025-12-09,1350,1
140,759,207,2025-08-05,975,1
141,735,509,2025-09-29,1350,1
142,2424,855,2025-12-09,520,1
143,4123,1289,2025-11-12,975,1
144,1420,1057,2026-01-22,975,1
145,4257,922,2025-07-19,1350,1
146,2470,1205,2025-12-06,1350,1
147,2856,885,2025-07-10,750,1
148,3700,629,2025-03-19,975,1
149,4162,446,2025-08-07,1350,1
150,1910,712,2025-10-17,1350,1
151,680,765,2025-11-11,1350,1
152,2203,561,2025-12-18,750,1
153,960,1295,2025-07-29,880,1
154,893,891,2025-11-30,975,1
155,3952,1257,2025-07-28,750,1
156,3339,1074,2025-05-24,750,1
157,3122,1263,2025-08-05,790,1
158,1472,1193,2025-10-20,975,1
159,330,702,2025-12-13,585,1
160,4974,1333,2025-08-22,975,1
161,3040,1395,2025-06-08,1350,1
162,3198,997,2025-03-27,1350,1
163,1478,1168,2025-09-03,1350,1
164,3714,612,2025-06-01,975,1
165,1753,1147,2025-02-04,1350,1
166,3459,120,2025-03-27,1350,1
167,3808,1071,2025-04-23,1350,1
168,2440,787,2025-03-13,1350,1
169,4383,980,2025-05-22,1350,1
170,1482,415,2025-02-25,1350,1
171,3446,722,2025-03-07,1350,1
172,3713,7,2026-01-29,1350,1
173,3308,57,2025-04-08,520,1
174,1669,1256,2025-04-06,975,1
175,1493,948,2025-10-09,1350,1
176,539,274,2025-08-29,880,1
177,4339,59,2025-05-03,520,1
178,4876,132,2025-08-01,790,1
179,2260,1157,2025-04-05,1350,1
180,2958,1120,2025-08-28,975,1
181,636,1152,2025-06-18,520,1
182,75,573,2026-01-09,880,1
183,2248,901,2025-12-11,975,1
184,3067,1209,2025-06-21,880,1
185,3373,1397,2025-06-04,1350,1
186,1780,867,2025-12-31,750,1
187,2331,296,2025-04-12,520,1
188,2789,653,2025-02-14,1350,1
189,573,157,2025-11-14,975,1
190,4660,1226,2025-04-06,975,1
191,2472,1072,2025-12-20,1350,1
192,229,846,2026-01-10,1350,1
193,2496,414,2025-03-09,975,1
194,1078,1158,2025-02-20,1350,1
195,1246,707,2025-08-18,1350,1
196,3495,1253,2025-03-23,1820,1
197,2035,1401,2025-09-29,1350,1
198,781,1000,2025-02-13,1350,1
199,422,253,2025-06-14,1820,1
200,1059,546,2025-12-18,975,1
201,4310,485,2025-02-21,1350,1
202,2490,466,2025-07-26,750,1
203,2196,1047,2025-07-12,1350,1
204,3830,1320,2025-06-02,1350,1
205,4921,386,2025-09-18,975,1
206,4848,1252,2025-06-25,520,1
207,3652,676,2025-03-19,1350,1
208,3265,163,2025-09-07,1350,1
209,2371,772,2025-06-25,1350,1
210,1003,699,2025-07-21,1350,1
211,46,483,2025-09-25,1350,1
212,2348,375,2025-12-13,975,1
213,318,445,2025-08-01,1350,1
214,2043,1345,2025-03-08,750,1
215,674,521,2025-06-11,1350,1
216,1930,301,2025-12-07,1350,1
217,4056,1433,2025-02-12,1350,1
218,3597,446,2026-01-13,1350,1
219,508,123,2025-07-16,975,1
220,4333,1203,2025-03-07,975,1
221,3991,302,2025-03-30,1350,1
222,3332,244,2025-06-17,1350,1
223,4236,1149,2025-06-13,1350,1
224,2824,29,2025-09-24,975,1
225,3165,191,2025-04-07,1350,1
226,2633,1264,2025-09-08,520,1
227,1499,1411,2025-03-23,975,1
228,99,234,2025-03-30,880,1
229,809,1137,2025-06-28,975,1
230,177,527,2025-04-30,975,1
231,1546,657,2025-06-24,1350,1
232,4940,15,2025-07-03,1350,1
233,1324,856,2025-12-12,975,1
234,3811,479,2025-11-19,880,1
235,2397,1258,2026-01-25,750,1
236,31,795,2025-10-11,1350,1
237,428,420,2025-09-02,1350,1
238,1897,1465,2025-02-25,1350,1
239,4913,459,2025-03-19,1350,1
240,935,1257,2025-04-14,750,1
241,4067,782,2025-05-25,1350,1
242,20,198,2025-10-20,1820,1
243,780,157,2025-06-05,975,1
244,1315,626,2025-07-19,750,1
245,2955,1034,2025-07-15,1350,1
246,4477,82,2025-04-22,975,1
247,1870,1215,2025-06-26,1350,1
248,4876,1177,2025-05-01,975,1
249,4828,528,2025-06-22,750,1
250,440,1235,2025-08-09,880,1
251,2636,1183,2025-12-26,520,1
252,2552,41,2025-11-18,1350,1
253,4619,930,2026-01-02,1350,1
254,410,294,2025-06-12,520,1
255,1063,1052,2025-06-13,790,1
256,223,1185,2025-02-18,975,1
257,633,936,2025-06-23,975,1
258,4473,369,2025-12-25,1350,1
