champion_id,skin_name,rarity,price_rp,is_base,champion_id_norm,skin_name_norm
Annie,Annie,Default,0,True,annie,annie
Annie,Goth Annie,Epic,1350,False,annie,gothannie
Annie,Red Riding Annie,Epic,1350,False,annie,redridingannie
Annie,Annie in Wonderland,Epic,1350,False,annie,annieinwonderland
Annie,Prom Queen Annie,Epic,1350,False,annie,promqueenannie
Annie,Frostfire Annie,Epic,1350,False,annie,frostfireannie
Annie,Reverse Annie,Epic,1350,False,annie,reverseannie
Annie,FrankenTibbers Annie,Epic,1350,False,annie,frankentibbersannie
Annie,Panda Annie,Epic,1350,False,annie,pandaannie
Annie,Sweetheart Annie,Epic,1350,False,annie,sweetheartannie
Annie,Hextech Annie,Epic,1350,False,annie,hextechannie
Annie,Super Galaxy Annie,Epic,1350,False,annie,supergalaxyannie
Annie,Annie-Versary,Epic,1350,False,annie,annie-versary
Annie,Lunar Beast Annie,Epic,1350,False,annie,lunarbeastannie
Annie,Cafe Cuties Annie,Epic,1350,False,annie,cafecutiesannie
Annie,Fright Night Annie,Epic,1350,False,annie,frightnightannie
Annie,Winterblessed Annie,Epic,1350,False,annie,winterblessedannie
Annie,Battle Princess Annie,Epic,1350,False,annie,battleprincessannie
Olaf,Olaf,Default,0,True,olaf,olaf
Olaf,Forsaken Olaf,Epic,1350,False,olaf,forsakenolaf
Olaf,Glacial Olaf,Epic,1350,False,olaf,glacialolaf
Olaf,Brolaf,Epic,1350,False,olaf,brolaf
Olaf,Pentakill Olaf,Epic,1350,False,olaf,pentakillolaf
Olaf,Marauder Olaf,Epic,1350,False,olaf,marauderolaf
Olaf,Butcher Olaf,Epic,1350,False,olaf,butcherolaf
Olaf,SKT T1 Olaf,Epic,1350,False,olaf,sktt1olaf
Olaf,Dragonslayer Olaf,Epic,1350,False,olaf,dragonslayerolaf
Olaf,Sentinel Olaf,Epic,1350,False,olaf,sentinelolaf
Olaf,Pentakill III: Lost Chapter Olaf,Epic,1350,False,olaf,pentakilliii:lostchapterolaf
Olaf,Infernal Olaf,Epic,1350,False,olaf,infernalolaf
Galio,Galio,Default,0,True,galio,galio
Galio,Enchanted Galio,Epic,1350,False,galio,enchantedgalio
Galio,Hextech Galio,Epic,1350,False,galio,hextechgalio
Galio,Commando Galio,Epic,1350,False,galio,commandogalio
Galio,Gatekeeper Galio,Epic,1350,False,galio,gatekeepergalio
Galio,Debonair Galio,Epic,1350,False,galio,debonairgalio
Galio,Birdio,Epic,1350,False,galio,birdio
Galio,Infernal Galio,Epic,1350,False,galio,infernalgalio
Galio,Dragon Guardian Galio,Epic,1350,False,galio,dragonguardiangalio
Galio,Mythmaker Galio,Epic,1350,False,galio,mythmakergalio
Galio,Aegis Frame Galio,Epic,1350,False,galio,aegisframegalio
TwistedFate,Twisted Fate,Default,0,True,twistedfate,twistedfate
TwistedFate,PAX Twisted Fate,Epic,1350,False,twistedfate,paxtwistedfate
TwistedFate,Jack of Hearts Twisted Fate,Epic,1350,False,twistedfate,jackofheartstwistedfate
TwistedFate,The Magnificent Twisted Fate,Epic,1350,False,twistedfate,themagnificenttwistedfate
TwistedFate,Tango Twisted Fate,Epic,1350,False,twistedfate,tangotwistedfate
TwistedFate,High Noon Twisted Fate,Epic,1350,False,twistedfate,highnoontwistedfate
TwistedFate,Musketeer Twisted Fate,Epic,1350,False,twistedfate,musketeertwistedfate
TwistedFate,Underworld Twisted Fate,Epic,1350,False,twistedfate,underworldtwistedfate
TwistedFate,Red Card Twisted Fate,Epic,1350,False,twistedfate,redcardtwistedfate
TwistedFate,Cutpurse Twisted Fate,Epic,1350,False,twistedfate,cutpursetwistedfate
TwistedFate,Blood Moon Twisted Fate,Epic,1350,False,twistedfate,bloodmoontwistedfate
TwistedFate,Pulsefire Twisted Fate,Epic,1350,False,twistedfate,pulsefiretwistedfate
TwistedFate,Odyssey Twisted Fate,Epic,1350,False,twistedfate,odysseytwistedfate
TwistedFate,DWG Twisted Fate,Epic,1350,False,twistedfate,dwgtwistedfate
TwistedFate,Crime City Nightmare Twisted Fate,Epic,1350,False,twistedfate,crimecitynightmaretwistedfate
TwistedFate,Space Groove Twisted Fate,Epic,1350,False,twistedfate,spacegroovetwistedfate
TwistedFate,Victorious Twisted Fate,Epic,1350,False,twistedfate,victorioustwistedfate
XinZhao,Xin Zhao,Default,0,True,xinzhao,xinzhao
XinZhao,Commando Xin Zhao,Epic,1350,False,xinzhao,commandoxinzhao
XinZhao,Imperial Xin Zhao,Epic,1350,False,xinzhao,imperialxinzhao
XinZhao,Viscero Xin Zhao,Epic,1350,False,xinzhao,visceroxinzhao
XinZhao,Winged Hussar Xin Zhao,Epic,1350,False,xinzhao,wingedhussarxinzhao
XinZhao,Warring Kingdoms Xin Zhao,Epic,1350,False,xinzhao,warringkingdomsxinzhao
XinZhao,Secret Agent Xin Zhao,Epic,1350,False,xinzhao,secretagentxinzhao
XinZhao,Dragonslayer Xin Zhao,Epic,1350,False,xinzhao,dragonslayerxinzhao
XinZhao,Cosmic Defender Xin Zhao,Epic,1350,False,xinzhao,cosmicdefenderxinzhao
XinZhao,Marauder Xin Zhao,Epic,1350,False,xinzhao,marauderxinzhao
XinZhao,Firecracker Xin Zhao,Epic,1350,False,xinzhao,firecrackerxinzhao
XinZhao,Trials of Twilight Xin Zhao,Epic,1350,False,xinzhao,trialsoftwilightxinzhao
Urgot,Urgot,Default,0,True,urgot,urgot
Urgot,Giant Enemy Crabgot,Epic,1350,False,urgot,giantenemycrabgot
Urgot,Butcher Urgot,Epic,1350,False,urgot,butcherurgot
Urgot,Battlecast Urgot,Epic,1350,False,urgot,battlecasturgot
Urgot,High Noon Urgot,Epic,1350,False,urgot,highnoonurgot
