player_id,region,account_created_date,player_segment
1,KR,2024-05-16,casual
2,NA,2021-11-18,core
3,EUW,2022-10-17,whale
4,NA,2022-05-01,core
5,NA,2022-09-29,casual
6,KR,2021-02-17,casual
7,NA,2023-04-15,casual
8,EUW,2023-10-16,casual
9,EUW,2022-08-09,casual
10,EUNE,2024-11-15,casual
11,EUNE,2024-08-12,casual
12,NA,2023-07-11,core
13,EUNE,2025-02-27,core
14,EUW,2023-07-24,casual
15,EUW,2023-08-18,casual
16,KR,2024-06-11,casual
17,NA,2022-11-23,core
18,KR,2022-04-13,core
19,KR,2023-03-21,core
20,KR,2021-04-03,casual
21,NA,2024-02-02,whale
22,NA,2021-11-13,whale
23,EUW,2021-02-09,casual
24,EUNE,2021-11-29,casual
25,EUNE,2021-08-25,casual
26,EUNE,2023-07-05,core
27,EUW,2023-04-09,casual
28,EUNE,2024-12-04,core
29,EUNE,2024-12-18,core
30,EUW,2025-09-26,core
31,NA,2021-10-15,core
32,KR,2024-12-04,casual
33,NA,2024-03-23,casual
34,EUNE,2023-06-15,casual
35,NA,2021-10-31,casual
36,EUNE,2025-06-30,casual
37,EUNE,2023-09-13,core
38,NA,2024-02-21,casual
39,NA,2024-03-25,casual
40,EUW,2025-01-20,casual
41,EUNE,2021-06-21,casual
42,EUNE,2024-01-25,casual
43,EUNE,2021-03-04,casual
44,EUNE,2023-11-28,casual
45,EUW,2023-07-31,casual
46,EUNE,2024-10-20,casual
47,NA,2022-03-06,casual
48,KR,2021-02-19,whale
49,KR,2021-03-18,core
50,KR,2023-07-05,casual
51,EUNE,2024-06-26,casual
52,KR,2023-09-26,casual
53,EUNE,2023-06-20,casual
54,EUNE,2024-12-28,casual
55,KR,2024-01-20,casual
56,EUNE,2021-10-06,casual
57,NA,2024-01-23,casual
58,EUNE,2021-12-26,whale
59,EUW,2025-01-01,casual
60,EUNE,2024-06-01,casual
61,EUNE,2023-10-21,core
62,KR,2025-11-24,casual
63,EUW,2021-04-27,core
64,KR,2023-10-30,casual
65,EUNE,2024-03-01,core
66,EUW,2023-08-27,casual
67,NA,2024-02-26,core
68,EUW,2024-05-20,core
69,EUW,2024-02-14,casual
