skin_id_hurtownia,champion_id,champion_name,skin_num,skin_name,rarity,price_rp
1,Aatrox,Aatrox,0,default,Epic,1350.0
2,Aatrox,Aatrox,1,Justicar Aatrox,Epic,1350.0
3,Aatrox,Aatrox,2,Mecha Aatrox,Epic,1350.0
4,Aatrox,Aatrox,3,Sea Hunter Aatrox,Epic,1350.0
5,Aatrox,Aatrox,7,Blood Moon Aatrox,Epic,1350.0
6,Aatrox,Aatrox,8,Prestige Blood Moon Aatrox,Epic,1350.0
7,Aatrox,Aatrox,9,Victorious Aatrox,Epic,1350.0
8,Aatrox,Aatrox,11,Odyssey Aatrox,Epic,1350.0
9,Aatrox,Aatrox,20,Prestige Blood Moon Aatrox (2022),Epic,1350.0
10,Aatrox,Aatrox,21,Lunar Eclipse Aatrox,Epic,1350.0
11,Aatrox,Aatrox,30,DRX Aatrox,Epic,1350.0
12,Aatrox,Aatrox,31,Prestige DRX Aatrox,Epic,1350.0
13,Aatrox,Aatrox,33,Primordian Aatrox,Epic,1350.0
14,Ahri,Ahri,0,default,Epic,1350.0
15,Ahri,Ahri,1,Dynasty Ahri,Epic,1350.0
16,Ahri,Ahri,2,Midnight Ahri,Epic,1350.0
17,Ahri,Ahri,3,Foxfire Ahri,Epic,1350.0
18,Ahri,Ahri,4,Popstar Ahri,Epic,1350.0
19,Ahri,Ahri,5,Challenger Ahri,Epic,1350.0
20,Ahri,Ahri,6,Academy Ahri,Epic,1350.0
21,Ahri,Ahri,7,Arcade Ahri,Epic,1350.0
22,Ahri,Ahri,14,Star Guardian Ahri,Epic,1350.0
23,Ahri,Ahri,15,K/DA Ahri,Epic,1350.0
24,Ahri,Ahri,16,Prestige K/DA Ahri,Epic,1350.0
25,Ahri,Ahri,17,Elderwood Ahri,Epic,1350.0
26,Ahri,Ahri,27,Spirit Blossom Ahri,Epic,1350.0
27,Ahri,Ahri,28,K/DA ALL OUT Ahri,Epic,1350.0
28,Ahri,Ahri,42,Coven Ahri,Epic,1350.0
29,Ahri,Ahri,65,Prestige K/DA Ahri (2022),Epic,1350.0
30,Ahri,Ahri,66,Arcana Ahri,Epic,1350.0
31,Ahri,Ahri,76,Snow Moon Ahri,Epic,1350.0
32,Ahri,Ahri,85,Risen Legend Ahri,Epic,1350.0
33,Ahri,Ahri,86,Immortalized Legend Ahri,Epic,1350.0
34,Ahri,Ahri,88,Spirit Blossom Springs Ahri,Epic,1350.0
35,Ahri,Ahri,89,After Hours Spirit Blossom Springs Ahri,Epic,1350.0
36,Akali,Akali,0,default,Epic,1350.0
37,Akali,Akali,1,Stinger Akali,Epic,1350.0
38,Akali,Akali,2,Infernal Akali,Epic,1350.0
39,Akali,Akali,3,All-star Akali,Epic,1350.0
40,Akali,Akali,4,Nurse Akali,Epic,1350.0
41,Akali,Akali,5,Blood Moon Akali,Epic,1350.0
42,Akali,Akali,6,Silverfang Akali,Epic,1350.0
43,Akali,Akali,7,Headhunter Akali,Epic,1350.0
44,Akali,Akali,8,Sashimi Akali,Epic,1350.0
45,Akali,Akali,9,K/DA Akali,Epic,1350.0
46,Akali,Akali,13,Prestige K/DA Akali,Epic,1350.0
47,Akali,Akali,14,PROJECT: Akali,Epic,1350.0
48,Akali,Akali,15,True Damage Akali,Epic,1350.0
49,Akali,Akali,32,K/DA ALL OUT Akali,Epic,1350.0
50,Akali,Akali,50,Crime City Nightmare Akali,Epic,1350.0
51,Akali,Akali,60,Prestige K/DA Akali (2022),Epic,1350.0
52,Akali,Akali,61,Star Guardian Akali,Epic,1350.0
53,Akali,Akali,68,DRX Akali,Epic,1350.0
54,Akali,Akali,70,Coven Akali,Epic,1350.0
55,Akali,Akali,71,Prestige Coven Akali,Epic,1350.0
56,Akali,Akali,82,Empyrean Akali,Epic,1350.0
57,Akali,Akali,92,Spirit Blossom Akali,Epic,1350.0
58,Akshan,Akshan,0,default,Epic,1350.0
59,Akshan,Akshan,1,Cyber Pop Akshan,Epic,1350.0
60,Akshan,Akshan,10,Crystal Rose Akshan,Epic,1350.0
61,Akshan,Akshan,20,Three Honors Akshan,Epic,1350.0
62,Alistar,Alistar,0,default,Epic,1350.0
63,Alistar,Alistar,1,Black Alistar,Epic,1350.0
64,Alistar,Alistar,2,Golden Alistar,Epic,1350.0
65,Alistar,Alistar,3,Matador Alistar,Epic,1350.0
66,Alistar,Alistar,4,Longhorn Alistar,Epic,1350.0
67,Alistar,Alistar,5,Unchained Alistar,Epic,1350.0
68,Alistar,Alistar,6,Infernal Alistar,Epic,1350.0
69,Alistar,Alistar,7,Sweeper Alistar,Epic,1350.0
70,Alistar,Alistar,8,Marauder Alistar,Epic,1350.0
71,Alistar,Alistar,9,SKT T1 Alistar,Epic,1350.0
72,Alistar,Alistar,10,Moo Cow Alistar,Epic,1350.0
73,Alistar,Alistar,19,Hextech Alistar,Epic,1350.0
