skin_name,price_rp,rarity,champion,skin_name_norm
Aatrox,880,Legacy,Aatrox,aatrox
Justicar Aatrox,975,Legacy,Aatrox,justicaraatrox
Mecha Aatrox,1350,Epic,Aatrox,mechaaatrox
Ahri,880,Legacy,Ahri,ahri
Dynasty Ahri,975,Legacy,Ahri,dynastyahri
Akali,790,Legacy,Akali,akali
Stinger Akali,520,Legacy,Akali,stingerakali
Infernal Akali,520,Legacy,Akali,infernalakali
Crimson Akali,520,Legacy,Akali,crimsonakali
All-star Akali,975,Legacy,Akali,allstarakali
Nurse Akali,975,Legacy,Akali,nurseakali
Akshan,975,Legacy,Akshan,akshan
Cyber Pop Akshan,1350,Epic,Akshan,cyberpopakshan
Alistar,585,Legacy,Alistar,alistar
Golden Alistar,390,Legacy,Alistar,goldenalistar
Longhorn Alistar,520,Legacy,Alistar,longhornalistar
Matador Alistar,975,Legacy,Alistar,matadoralistar
Infernal Alistar,975,Legacy,Alistar,infernalalistar
Sweeper Alistar,750,Legacy,Alistar,sweeperalistar
Marauder Alistar,750,Legacy,Alistar,marauderalistar
SKT T1 Alistar,975,Legacy,Alistar,sktt1alistar
Moo Cow Alistar,975,Legacy,Alistar,moocowalistar
Amumu,260,Legacy,Amumu,amumu
Pharaoh Amumu,520,Legacy,Amumu,pharaohamumu
Vancouver Amumu,520,Legacy,Amumu,vancouveramumu
Emumu Amumu,520,Legacy,Amumu,emumuamumu
Re-Gifted Amumu,520,Legacy,Amumu,regiftedamumu
Almost-Prom King Amumu,520,Legacy,Amumu,almostpromkingamumu
Little Knight Amumu,750,Legacy,Amumu,littleknightamumu
Sad Robot Amumu,1350,Epic,Amumu,sadrobotamumu
Surprise Party Amumu,1350,Epic,Amumu,surprisepartyamumu
Anivia,790,Legacy,Anivia,anivia
Team Spirit Anivia,520,Legacy,Anivia,teamspiritanivia
Bird of Prey Anivia,520,Legacy,Anivia,birdofpreyanivia
Noxus Hunter Anivia,520,Legacy,Anivia,noxushunteranivia
Hextech Anivia,750,Legacy,Anivia,hextechanivia
Blackfrost Anivia,1820,Legendary,Anivia,blackfrostanivia
Prehistoric Anivia,750,Legacy,Anivia,prehistoricanivia
Festival Queen Anivia,975,Legacy,Anivia,festivalqueenanivia
Papercraft Anivia,1350,Epic,Anivia,papercraftanivia
Annie,260,Legacy,Annie,annie
Red Riding Annie,520,Legacy,Annie,redridingannie
Annie in Wonderland Annie,1820,Legendary,Annie,annieinwonderlandannie
Prom Queen Annie,520,Legacy,Annie,promqueenannie
Reverse Annie,975,Legacy,Annie,reverseannie
Frostfire Annie,975,Legacy,Annie,frostfireannie
FrankenTibbers Annie,975,Legacy,Annie,frankentibbersannie
Panda Annie,975,Legacy,Annie,pandaannie
Sweetheart Annie,750,Legacy,Annie,sweetheartannie
Super Galaxy Annie,1350,Epic,Annie,supergalaxyannie
Aphelios,975,Legacy,Aphelios,aphelios
Ashe,260,Legacy,Ashe,ashe
Freljord Ashe,520,Legacy,Ashe,freljordashe
Sherwood Forest Ashe,520,Legacy,Ashe,sherwoodforestashe
Woad Ashe,520,Legacy,Ashe,woadashe
Queen Ashe,975,Legacy,Ashe,queenashe
Amethyst Ashe,975,Legacy,Ashe,amethystashe
Heartseeker Ashe,975,Legacy,Ashe,heartseekerashe
