player_id,region,account_created_date,player_segment
1,EUW,2022-07-20,core
2,EUNE,2023-03-02,casual
3,EUW,2025-10-24,casual
4,EUW,2024-01-23,casual
5,NA,2025-10-01,casual
6,EUW,2025-06-28,casual
7,NA,2023-03-03,casual
8,EUW,2023-07-27,core
9,EUW,2021-03-19,casual
10,EUNE,2022-11-13,casual
11,EUNE,2021-06-10,core
12,EUNE,2025-08-27,core
13,KR,2023-10-18,casual
14,NA,2024-12-26,core
15,EUW,2025-07-29,casual
16,EUW,2024-08-26,casual
17,KR,2025-06-30,casual
18,KR,2025-12-27,casual
19,KR,2022-10-18,casual
20,EUW,2023-11-24,whale
21,EUW,2024-11-11,casual
22,EUW,2024-07-02,casual
23,NA,2021-08-16,casual
24,EUW,2025-03-05,whale
25,NA,2023-11-10,whale
26,NA,2021-03-28,casual
27,NA,2023-10-05,core
28,EUNE,2022-01-07,casual
29,EUW,2024-10-28,core
30,EUNE,2022-08-05,casual
31,NA,2025-05-23,core
32,KR,2022-12-31,whale
33,EUNE,2023-10-30,casual
34,KR,2025-01-22,casual
35,EUNE,2025-01-27,casual
36,EUNE,2024-03-10,casual
37,NA,2022-05-17,casual
38,NA,2022-03-03,casual
39,EUW,2023-07-13,core
40,EUNE,2022-07-19,casual
41,EUNE,2022-06-09,casual
42,EUW,2024-10-19,casual
43,NA,2025-07-02,casual
44,EUW,2022-05-08,core
45,NA,2022-02-23,casual
46,KR,2024-04-14,casual
47,KR,2021-10-22,casual
48,EUW,2023-09-19,casual
49,KR,2022-10-07,core
50,EUNE,2024-05-21,casual
51,EUNE,2022-04-07,casual
52,EUNE,2023-02-28,core
53,EUW,2025-09-01,casual
54,KR,2025-04-16,casual
55,EUW,2023-10-10,core
56,KR,2022-07-23,core
57,NA,2023-09-24,core
58,NA,2022-11-07,core
59,EUNE,2022-08-05,casual
60,EUNE,2023-09-04,casual
61,KR,2025-10-10,casual
62,EUW,2025-10-08,casual
63,EUNE,2024-01-16,whale
64,KR,2021-12-08,casual
65,NA,2021-05-23,casual
66,EUNE,2025-12-25,whale
67,NA,2024-09-29,core
68,NA,2022-06-26,casual
69,NA,2023-05-16,casual
70,NA,2025-02-14,casual
71,NA,2022-08-27,core
72,EUNE,2025-10-15,core
73,EUNE,2025-11-11,casual
74,EUW,2022-10-13,core
75,EUNE,2022-11-13,casual
76,EUW,2022-06-08,casual
77,NA,2024-03-07,core
78,KR,2022-12-10,casual
79,EUNE,2025-12-22,casual
80,NA,2022-05-23,core
81,EUNE,2025-09-23,core
82,KR,2025-08-09,whale
83,EUW,2021-11-22,core
84,EUW,2021-10-06,casual
85,EUW,2025-04-13,core
86,NA,2025-02-15,whale
87,EUW,2022-07-21,casual
88,EUNE,2022-02-08,casual
89,KR,2023-01-09,whale
90,EUNE,2022-02-11,casual
91,EUNE,2025-06-27,casual
92,KR,2024-12-26,casual
93,KR,2021-04-04,core
94,EUNE,2022-02-02,casual
95,EUW,2024-10-01,casual
96,EUNE,2023-02-22,casual
97,NA,2021-02-22,casual
98,NA,2023-07-25,casual
99,EUW,2021-12-21,casual
100,KR,2024-07-27,casual
101,EUW,2023-12-10,core
102,NA,2022-08-31,whale
103,EUNE,2023-01-17,core
104,EUW,2021-06-22,core
105,KR,2021-06-06,casual
106,KR,2021-11-19,casual
107,EUNE,2025-05-03,core
108,NA,2023-05-05,casual
109,NA,2025-08-08,casual
110,EUW,2024-07-03,casual
111,KR,2021-02-21,core
112,EUNE,2023-08-18,core
113,NA,2024-12-04,whale
114,NA,2024-06-14,casual
115,EUW,2023-04-18,casual
116,NA,2024-09-12,core
117,EUNE,2021-09-19,casual
118,EUNE,2025-11-08,casual
119,NA,2025-01-09,casual
120,EUW,2023-04-23,casual
121,KR,2024-08-02,casual
122,EUNE,2022-06-09,casual
123,EUW,2021-11-12,core
124,NA,2025-07-01,core
125,EUNE,2024-06-21,casual
126,NA,2022-11-03,casual
127,EUNE,2023-03-18,casual
128,KR,2025-08-07,casual
129,NA,2021-07-19,core
130,EUNE,2021-07-17,whale
131,EUW,2022-03-08,core
132,EUNE,2024-08-19,core
133,EUNE,2022-05-24,casual
134,EUW,2023-03-02,core
135,KR,2024-11-25,casual
136,EUNE,2023-10-21,casual
137,EUNE,2024-03-17,casual
138,EUW,2023-11-25,casual
139,NA,2022-01-29,casual
140,EUNE,2024-02-25,casual
141,EUW,2024-05-11,core
142,KR,2025-10-15,casual
143,NA,2021-06-15,casual
144,EUNE,2022-07-12,casual
145,EUNE,2025-11-01,casual
146,KR,2023-11-02,casual
147,EUNE,2023-03-12,core
148,KR,2024-08-12,core
149,NA,2023-11-22,casual
150,NA,2021-04-04,casual
151,EUW,2024-05-13,core
152,KR,2023-03-21,core
153,KR,2024-07-05,core
154,EUW,2023-09-24,casual
155,KR,2023-10-02,core
156,EUW,2022-07-05,core
157,NA,2024-01-28,core
158,EUW,2025-04-08,casual
159,EUNE,2023-05-27,core
