skin_id,champion_name,skin_name,rarity,price_rp,release_date,champion_id,skin_num,skin_name_norm
1,Aatrox,default,Default,0,2013-06-12,Aatrox,0,aatrox
2,Aatrox,Justicar Aatrox,Legacy,975,2013-06-12,Aatrox,1,justicaraatrox
3,Aatrox,Mecha Aatrox,Epic,1350,2014-07-23,Aatrox,2,mechaaatrox
4,Aatrox,Sea Hunter Aatrox,Legacy,750,2015-07-22,Aatrox,3,seahunteraatrox
5,Aatrox,Blood Moon Aatrox,Epic,1350,2019-01-10,Aatrox,7,bloodmoonaatrox
6,Aatrox,Odyssey Aatrox,Epic,1350,2020-10-15,Aatrox,11,odysseyaatrox
7,Aatrox,Lunar Eclipse Aatrox,Epic,1350,2022-04-28,Aatrox,21,lunareclipseaatrox
8,Aatrox,DRX Aatrox,Epic,1350,2023-06-01,Aatrox,30,drxaatrox
9,Aatrox,Primordian Aatrox,Legendary,1820,2024-07-31,Aatrox,33,primordianaatrox
10,Ahri,default,Default,0,2011-12-14,Ahri,0,ahri
11,Ahri,Dynasty Ahri,Legacy,975,2011-12-14,Ahri,1,dynastyahri
12,Ahri,Midnight Ahri,Legacy,750,2011-12-14,Ahri,2,midnightahri
13,Ahri,Foxfire Ahri,Legacy,975,2012-07-11,Ahri,3,foxfireahri
14,Ahri,Popstar Ahri,Legacy,975,2013-11-25,Ahri,4,popstarahri
15,Ahri,Challenger Ahri,Legacy,975,2015-01-15,Ahri,5,challengerahri
16,Ahri,Academy Ahri,Legacy,750,2015-08-26,Ahri,6,academyahri
17,Ahri,Arcade Ahri,Epic,1350,2016-08-24,Ahri,7,arcadeahri
18,Ahri,Star Guardian Ahri,Legendary,1820,2017-09-06,Ahri,14,starguardianahri
19,Ahri,K/DA Ahri,Epic,1350,2018-11-03,Ahri,15,kdaahri
20,Ahri,Elderwood Ahri,Epic,1350,2019-08-29,Ahri,17,elderwoodahri
21,Ahri,Spirit Blossom Ahri,Legendary,1820,2020-08-06,Ahri,27,spiritblossomahri
22,Ahri,K/DA ALL OUT Ahri,Epic,1350,2020-10-29,Ahri,28,kdaalloutahri
23,Ahri,Coven Ahri,Epic,1350,2021-08-12,Ahri,42,covenahri
24,Ahri,Arcana Ahri,Epic,1350,2022-04-14,Ahri,66,arcanaahri
25,Ahri,Snow Moon Ahri,Epic,1350,2023-05-18,Ahri,76,snowmoonahri
26,Akali,default,Default,0,2010-05-11,Akali,0,akali
27,Akali,Stinger Akali,Legacy,520,2010-05-11,Akali,1,stingerakali
28,Akali,Infernal Akali,Legacy,520,2010-05-11,Akali,2,infernalakali
29,Akali,All-star Akali,Legacy,975,2010-06-24,Akali,3,allstarakali
30,Akali,Nurse Akali,Legacy,975,2011-01-04,Akali,4,nurseakali
31,Akali,Blood Moon Akali,Legacy,975,2011-06-07,Akali,5,bloodmoonakali
32,Akali,Silverfang Akali,Legacy,975,2011-11-29,Akali,6,silverfangakali
33,Akali,Headhunter Akali,Epic,1350,2015-03-23,Akali,7,headhunterakali
34,Akali,Sashimi Akali,Legacy,750,2016-09-07,Akali,8,sashimiakali
35,Akali,K/DA Akali,Epic,1350,2018-11-03,Akali,9,kdaakali
36,Akali,PROJECT: Akali,Epic,1350,2019-08-01,Akali,14,projectakali
37,Akali,True Damage Akali,Epic,1350,2019-11-10,Akali,15,truedamageakali
38,Akali,K/DA ALL OUT Akali,Epic,1350,2020-10-29,Akali,32,kdaalloutakali
39,Akali,Crime City Nightmare Akali,Epic,1350,2021-08-26,Akali,50,crimecitynightmareakali
40,Akali,Star Guardian Akali,Legendary,1820,2022-07-28,Akali,61,starguardianakali
41,Akali,DRX Akali,Epic,1350,2023-06-01,Akali,68,drxakali
42,Akali,Coven Akali,Epic,1350,2023-10-11,Akali,70,covenakali
43,Akali,Empyrean Akali,Epic,1350,2024-05-01,Akali,82,empyreanakali
44,Akshan,default,Default,0,2021-07-22,Akshan,0,akshan
45,Akshan,Cyber Pop Akshan,Epic,1350,2021-07-22,Akshan,1,cyberpopakshan
46,Akshan,Crystal Rose Akshan,Epic,1350,2022-02-10,Akshan,10,crystalroseakshan
47,Alistar,default,Default,0,2009-02-21,Alistar,0,alistar
48,Alistar,Golden Alistar,Legacy,390,2010-01-13,Alistar,2,goldenalistar
49,Alistar,Matador Alistar,Legacy,975,2010-05-11,Alistar,3,matadoralistar
50,Alistar,Longhorn Alistar,Legacy,520,2011-02-16,Alistar,4,longhornalistar
51,Alistar,Infernal Alistar,Legacy,975,2012-07-13,Alistar,6,infernalalistar
52,Alistar,Sweeper Alistar,Legacy,750,2014-06-18,Alistar,7,sweeperalistar
53,Alistar,Marauder Alistar,Legacy,750,2015-09-30,Alistar,8,marauderalistar
54,Alistar,SKT T1 Alistar,Legacy,975,2016-08-17,Alistar,9,sktt1alistar
55,Alistar,Moo Cow Alistar,Legacy,975,2017-03-29,Alistar,10,moocowalistar
56,Alistar,Conqueror Alistar,Legacy,975,2019-04-30,Alistar,20,conqueroralistar
57,Alistar,Blackfrost Alistar,Epic,1350,2020-03-05,Alistar,22,blackfrostalistar
58,Alistar,Lunar Beast Alistar,Epic,1350,2021-02-04,Alistar,29,lunarbeastalistar
59,Ambessa,default,Default,0,,Ambessa,0,ambessa
60,Amumu,default,Default,0,2009-06-25,Amumu,0,amumu
61,Amumu,Pharaoh Amumu,Legacy,520,2010-02-02,Amumu,1,pharaohamumu
62,Amumu,Vancouver Amumu,Legacy,520,2010-02-12,Amumu,2,vancouveramumu
63,Amumu,Re-Gifted Amumu,Legacy,520,2010-12-14,Amumu,4,regiftedamumu
64,Amumu,Almost-Prom King Amumu,Legacy,520,2011-02-07,Amumu,5,almostpromkingamumu
65,Amumu,Little Knight Amumu,Legacy,750,2011-07-18,Amumu,6,littleknightamumu
66,Amumu,Sad Robot Amumu,Epic,1350,2012-05-28,Amumu,7,sadrobotamumu
67,Amumu,Surprise Party Amumu,Epic,1350,2015-03-31,Amumu,8,surprisepartyamumu
68,Amumu,Infernal Amumu,Epic,1350,2018-10-16,Amumu,17,infernalamumu
69,Amumu,Pumpkin Prince Amumu,Epic,1350,2020-10-22,Amumu,24,pumpkinprinceamumu
70,Amumu,Porcelain Amumu,Epic,1350,2022-01-26,Amumu,34,porcelainamumu
71,Amumu,Heartache Amumu,Epic,1350,2023-02-10,Amumu,44,heartacheamumu
72,Anivia,default,Default,0,2009-07-09,Anivia,0,anivia
73,Anivia,Team Spirit Anivia,Legacy,520,2010-02-12,Anivia,1,teamspiritanivia
74,Anivia,Bird of Prey Anivia,Legacy,520,2010-05-02,Anivia,2,birdofpreyanivia
75,Anivia,Noxus Hunter Anivia,Legacy,520,2010-08-24,Anivia,3,noxushunteranivia
76,Anivia,Hextech Anivia,Legacy,750,2011-03-01,Anivia,4,hextechanivia
77,Anivia,Blackfrost Anivia,Legendary,1820,2013-04-29,Anivia,5,blackfrostanivia
78,Anivia,Prehistoric Anivia,Legacy,750,2015-06-14,Anivia,6,prehistoricanivia
79,Anivia,Festival Queen Anivia,Legacy,975,2017-02-23,Anivia,7,festivalqueenanivia
80,Anivia,Papercraft Anivia,Epic,1350,2019-02-21,Anivia,8,papercraftanivia
81,Anivia,Cosmic Flight Anivia,Epic,1350,2020-11-24,Anivia,17,cosmicflightanivia
82,Anivia,Divine Phoenix Anivia,Epic,1350,2021-09-02,Anivia,27,divinephoenixanivia
83,Annie,default,Default,0,2009-02-21,Annie,0,annie
84,Annie,Red Riding Annie,Legacy,520,2010-04-27,Annie,2,redridingannie
85,Annie,Prom Queen Annie,Legacy,520,2011-02-07,Annie,4,promqueenannie
86,Annie,Frostfire Annie,Legacy,975,2011-05-24,Annie,5,frostfireannie
87,Annie,Reverse Annie,Legacy,975,2011-09-06,Annie,6,reverseannie
88,Annie,FrankenTibbers Annie,Legacy,975,2011-10-19,Annie,7,frankentibbersannie
89,Annie,Panda Annie,Legacy,975,2013-02-08,Annie,8,pandaannie
90,Annie,Sweetheart Annie,Legacy,750,2015-02-13,Annie,9,sweetheartannie
91,Annie,Super Galaxy Annie,Epic,1350,2017-10-16,Annie,11,supergalaxyannie
92,Annie,Cafe Cuties Annie,Epic,1350,2021-12-02,Annie,22,cafecutiesannie
93,Annie,Winterblessed Annie,Epic,1350,2023-12-06,Annie,40,winterblessedannie
94,Annie,Battle Princess Annie,Epic,1350,2024-08-28,Annie,50,battleprincessannie
95,Aphelios,default,Default,0,2019-12-11,Aphelios,0,aphelios
96,Aphelios,EDG Aphelios,Epic,1350,2022-05-12,Aphelios,18,edgaphelios
97,Aphelios,Spirit Blossom Aphelios,Epic,1350,2022-10-06,Aphelios,20,spiritblossomaphelios
98,Aphelios,HEARTSTEEL Aphelios,Epic,1350,2023-11-08,Aphelios,30,heartsteelaphelios
99,Ashe,default,Default,0,2009-02-21,Ashe,0,ashe
100,Ashe,Freljord Ashe,Legacy,520,2009-11-20,Ashe,1,freljordashe
101,Ashe,Sherwood Forest Ashe,Legacy,520,2010-04-08,Ashe,2,sherwoodforestashe
102,Ashe,Woad Ashe,Legacy,520,2010-07-18,Ashe,3,woadashe
103,Ashe,Queen Ashe,Legacy,975,2010-09-21,Ashe,4,queenashe
104,Ashe,Amethyst Ashe,Legacy,975,2011-11-15,Ashe,5,amethystashe
105,Ashe,Heartseeker Ashe,Legacy,975,2014-02-14,Ashe,6,heartseekerashe
106,Ashe,Marauder Ashe,Legacy,750,2015-02-17,Ashe,7,marauderashe
107,Ashe,PROJECT: Ashe,Legendary,1820,2016-08-01,Ashe,8,projectashe
108,Ashe,Worlds 2017 Ashe,Epic,1350,2017-09-12,Ashe,9,worlds2017ashe
